"siteId","siteLabel","microsite","depth","rep","percentRPC"
16,"Ked 30+","open","6-15cm",3,0.332308934716599
16,"Ked 30+","smooth","0-5cm",1,0.384457177319075
16,"Ked 30+","smooth","0-5cm",2,0.603047612203732
16,"Ked 30+","smooth","0-5cm",3,1.22274882139279
16,"Ked 30+","smooth","6-15cm",1,0.927910667905824
16,"Ked 30+","smooth","6-15cm",2,0.244499269606615
16,"Ked 30+","smooth","6-15cm",3,0.285901668337929
16,"Ked 30+","rough","0-5cm",1,0.924808623910336
16,"Ked 30+","rough","0-5cm",2,0.987304282338309
16,"Ked 30+","rough","0-5cm",3,0.507910404329435
16,"Ked 30+","rough","6-15cm",1,0.28950581242236
16,"Ked 30+","rough","6-15cm",2,0.494175110421836
16,"Ked 30+","rough","6-15cm",3,0.333256935199193
17,"And 5pb","open","0-5cm",1,0.990487122828784
17,"And 5pb","open","0-5cm",2,0.89250499748301
17,"And 5pb","open","0-5cm",3,0.927544723050174
17,"And 5pb","open","6-15cm",1,0.585563438592112
17,"And 5pb","open","6-15cm",2,0.800940429146741
17,"And 5pb","open","6-15cm",3,0.624995447144289
17,"And 5pb","smooth","0-5cm",1,1.09981528836634
17,"And 5pb","smooth","0-5cm",2,1.12696588066766
17,"And 5pb","smooth","0-5cm",3,1.02038011754516
17,"And 5pb","smooth","6-15cm",1,0.858395026302605
17,"And 5pb","smooth","6-15cm",2,0.61229754625
17,"And 5pb","smooth","6-15cm",3,0.441537367827612
17,"And 5pb","rough","0-5cm",1,0.922584372791519
17,"And 5pb","rough","0-5cm",2,0.689342704648813
17,"And 5pb","rough","0-5cm",3,1.15039414397378
17,"And 5pb","rough","6-15cm",1,0.186771717776116
17,"And 5pb","rough","6-15cm",2,0.31461139459995
17,"And 5pb","rough","6-15cm",3,0.162958861104234
18,"Ro5P1","open","0-5cm",1,0.3742960217714
18,"Ro5P1","open","0-5cm",2,0.541123297092288
18,"Ro5P1","open","0-5cm",3,0.288623520599251
18,"Ro5P1","open","6-15cm",1,0.117834200555696
18,"Ro5P1","open","6-15cm",2,0.182853748743719
18,"Ro5P1","open","6-15cm",3,0.206119949647533
18,"Ro5P1","smooth","0-5cm",1,1.14899303997988
18,"Ro5P1","smooth","0-5cm",2,0.974328109725686
18,"Ro5P1","smooth","0-5cm",3,1.27290609943112
18,"Ro5P1","smooth","6-15cm",1,0.329520221550856
18,"Ro5P1","smooth","6-15cm",2,0.269026828182942
18,"Ro5P1","smooth","6-15cm",3,0.302663234191452
18,"Ro5P1","rough","0-5cm",1,0.487782114314618
18,"Ro5P1","rough","0-5cm",2,0.534418911290323
18,"Ro5P1","rough","0-5cm",3,0.590447145708583
18,"Ro5P1","rough","6-15cm",1,0.214739909593169
18,"Ro5P1","rough","6-15cm",2,0.160146465560583
18,"Ro5P1","rough","6-15cm",3,0.0995911167002012
19,"SHA 5pb","open","0-5cm",1,0.402800623916811
19,"SHA 5pb","open","0-5cm",2,0.415965997031173
19,"SHA 5pb","open","0-5cm",3,0.461561462559479
19,"SHA 5pb","open","6-15cm",1,0.310179426004492
19,"SHA 5pb","open","6-15cm",2,0.226776458802905
19,"SHA 5pb","open","6-15cm",3,0.275478784835551
19,"SHA 5pb","smooth","0-5cm",1,0.604521402805611
19,"SHA 5pb","smooth","0-5cm",2,0.626907142139628
19,"SHA 5pb","smooth","0-5cm",3,0.792883583583583
19,"SHA 5pb","smooth","6-15cm",1,0.603815938735178
19,"SHA 5pb","smooth","6-15cm",2,0.309206151545364
19,"SHA 5pb","smooth","6-15cm",3,0.54395278293601
19,"SHA 5pb","rough","0-5cm",1,0.954278311425682
19,"SHA 5pb","rough","0-5cm",2,1.19974479682854
19,"SHA 5pb","rough","0-5cm",3,1.06256236408978
19,"SHA 5pb","rough","6-15cm",1,0.623432316950853
19,"SHA 5pb","rough","6-15cm",2,0.66473078140455
19,"SHA 5pb","rough","6-15cm",3,0.546395318621374
20,"FAL 5PB","open","0-5cm",1,0.426088654037886
20,"FAL 5PB","open","0-5cm",2,0.543260519221168
20,"FAL 5PB","open","0-5cm",3,0.38722115942029
20,"FAL 5PB","open","6-15cm",1,0.441760978562421
20,"FAL 5PB","open","6-15cm",2,0.3095409632572
20,"FAL 5PB","open","6-15cm",3,0.419071322376738
20,"FAL 5PB","smooth","0-5cm",1,0.511471623505976
20,"FAL 5PB","smooth","0-5cm",2,0.577436042860703
20,"FAL 5PB","smooth","0-5cm",3,0.69407143933685
20,"FAL 5PB","smooth","6-15cm",1,0.408170782262083
20,"FAL 5PB","smooth","6-15cm",2,0.473227920595533
20,"FAL 5PB","smooth","6-15cm",3,0.339211963837268
20,"FAL 5PB","rough","0-5cm",1,1.20346195242815
20,"FAL 5PB","rough","0-5cm",2,1.47256215838121
20,"FAL 5PB","rough","0-5cm",3,1.55925581993569
20,"FAL 5PB","rough","6-15cm",1,0.651983355974843
20,"FAL 5PB","rough","6-15cm",2,1.01398171202375
20,"FAL 5PB","rough","6-15cm",3,0.598639920733218
21,"RO20W1","open","0-5cm",1,0.487917322092735
21,"RO20W1","open","0-5cm",2,0.473273630510154
21,"RO20W1","open","0-5cm",3,0.295120039692384
21,"RO20W1","open","6-15cm",1,0.455840821782178
21,"RO20W1","open","6-15cm",2,0.464354834864664
21,"RO20W1","open","6-15cm",3,0.53532354140761
21,"RO20W1","smooth","0-5cm",1,0.438510587651872
21,"RO20W1","smooth","0-5cm",2,0.674267801842171
21,"RO20W1","smooth","0-5cm",3,0.550171464081531
21,"RO20W1","smooth","6-15cm",1,0.754490525267613
21,"RO20W1","smooth","6-15cm",2,0.675904554947787
21,"RO20W1","smooth","6-15cm",3,0.762905391912132
21,"RO20W1","rough","0-5cm",1,0.608627844207393
21,"RO20W1","rough","0-5cm",2,0.850595797430083
21,"RO20W1","rough","0-5cm",3,0.412977505556928
21,"RO20W1","rough","6-15cm",1,0.538455795511222
21,"RO20W1","rough","6-15cm",2,0.379074548645938
21,"RO20W1","rough","6-15cm",3,0.539693472636816
22,"GreyPt2","open","0-5cm",1,0.373621910447761
22,"GreyPt2","open","0-5cm",2,0.258591034482759
22,"GreyPt2","open","0-5cm",3,0.450135560606061
22,"GreyPt2","open","6-15cm",1,0.151626313144006
22,"GreyPt2","open","6-15cm",2,0.212024086826347
22,"GreyPt2","open","6-15cm",3,0.158873566574377
22,"GreyPt2","smooth","0-5cm",1,0.615055689742294
22,"GreyPt2","smooth","0-5cm",2,0.554416
22,"GreyPt2","smooth","0-5cm",3,0.35006437642297
22,"GreyPt2","smooth","6-15cm",1,0.217826454682023
22,"GreyPt2","smooth","6-15cm",2,0.09480717935745
22,"GreyPt2","smooth","6-15cm",3,0.120153626428217
22,"GreyPt2","rough","0-5cm",1,0.66757953953954
22,"GreyPt2","rough","0-5cm",2,0.722262161626178
22,"GreyPt2","rough","0-5cm",3,0.295272648005945
22,"GreyPt2","rough","6-15cm",1,0.154765720754717
22,"GreyPt2","rough","6-15cm",2,0.0902309113733367
22,"GreyPt2","rough","6-15cm",3,0.11582333836858
23,"WOM30W","open","0-5cm",1,0.516224010920824
23,"WOM30W","open","0-5cm",2,0.783622995461422
23,"WOM30W","open","0-5cm",3,0.508628051434224
23,"WOM30W","open","6-15cm",1,0.293447558139535
23,"WOM30W","open","6-15cm",2,0.438352758279782
23,"WOM30W","open","6-15cm",3,0.434257788844622
23,"WOM30W","smooth","0-5cm",1,0.480858373300371
23,"WOM30W","smooth","0-5cm",2,0.444455418457649
23,"WOM30W","smooth","0-5cm",3,0.366773345052737
23,"WOM30W","smooth","6-15cm",1,0.278436096951524
23,"WOM30W","smooth","6-15cm",2,0.380587205845301
23,"WOM30W","smooth","6-15cm",3,0.33965570896449
23,"WOM30W","rough","0-5cm",1,0.610731094527363
23,"WOM30W","rough","0-5cm",2,0.554450377358491
23,"WOM30W","rough","0-5cm",3,0.423447909045971
23,"WOM30W","rough","6-15cm",1,0.568278321149483
23,"WOM30W","rough","6-15cm",2,0.341711176762661
23,"WOM30W","rough","6-15cm",3,0.448188290233492
24,"Ing15p","open","0-5cm",1,0.342751719020529
24,"Ing15p","open","0-5cm",2,0.67095339908953
24,"Ing15p","open","0-5cm",3,0.407720901536137
24,"Ing15p","open","6-15cm",1,0.530047295816733
24,"Ing15p","open","6-15cm",2,0.441545025025025
24,"Ing15p","open","6-15cm",3,0.39515077307981
24,"Ing15p","smooth","0-5cm",1,0.653972544055597
24,"Ing15p","smooth","0-5cm",2,0.761848248871049
24,"Ing15p","smooth","0-5cm",3,0.920457476403378
24,"Ing15p","smooth","6-15cm",1,0.302284844343204
24,"Ing15p","smooth","6-15cm",2,0.43288280350438
24,"Ing15p","smooth","6-15cm",3,0.207522441947566
24,"Ing15p","rough","0-5cm",1,1.86987945945946
24,"Ing15p","rough","0-5cm",2,1.44629264230674
24,"Ing15p","rough","0-5cm",3,0.635486544357879
24,"Ing15p","rough","6-15cm",1,0.38737157554672
24,"Ing15p","rough","6-15cm",2,0.420648593868761
24,"Ing15p","rough","6-15cm",3,0.1522503901334
25,"WOM 20P","open","0-5cm",1,0.272849605788423
25,"WOM 20P","open","0-5cm",2,0.325328192470706
25,"WOM 20P","open","0-5cm",3,0.294730599603568
25,"WOM 20P","open","6-15cm",1,0.220016948565776
25,"WOM 20P","open","6-15cm",2,0.224157710572357
25,"WOM 20P","open","6-15cm",3,0.227712935323383
25,"WOM 20P","smooth","0-5cm",1,1.16434543587174
25,"WOM 20P","smooth","0-5cm",2,1.11547192355423
25,"WOM 20P","smooth","0-5cm",3,0.995868053425674
25,"WOM 20P","smooth","6-15cm",1,0.569789329329329
25,"WOM 20P","smooth","6-15cm",2,0.638540867840317
25,"WOM 20P","smooth","6-15cm",3,0.673738077309237
25,"WOM 20P","rough","0-5cm",1,0.420608193069307
25,"WOM 20P","rough","0-5cm",2,0.510873139974779
25,"WOM 20P","rough","0-5cm",3,0.280856707839677
25,"WOM 20P","rough","6-15cm",1,0.241796563052818
25,"WOM 20P","rough","6-15cm",2,0.256011129915381
25,"WOM 20P","rough","6-15cm",3,0.324581181818182
26,"Bun<15P","open","0-5cm",1,0.443886888444222
26,"Bun<15P","open","0-5cm",2,0.295554905802562
26,"Bun<15P","open","0-5cm",3,0.406968334585525
26,"Bun<15P","open","6-15cm",1,0.256535543342493
26,"Bun<15P","open","6-15cm",2,0.160764734323848
26,"Bun<15P","open","6-15cm",3,0.175527793783169
26,"Bun<15P","smooth","0-5cm",1,0.501433363117399
26,"Bun<15P","smooth","0-5cm",2,0.483660039910202
26,"Bun<15P","smooth","0-5cm",3,0.788797951927892
26,"Bun<15P","smooth","6-15cm",1,0.453583876475019
26,"Bun<15P","smooth","6-15cm",2,0.196817842013456
26,"Bun<15P","smooth","6-15cm",3,0.490486962962963
26,"Bun<15P","rough","0-5cm",1,0.554167571464082
26,"Bun<15P","rough","0-5cm",2,1.06055021351419
26,"Bun<15P","rough","0-5cm",3,0.505303845386534
26,"Bun<15P","rough","6-15cm",1,0.557826889279438
26,"Bun<15P","rough","6-15cm",2,0.408478243890149
26,"Bun<15P","rough","6-15cm",3,0.391319402429953
27,"PUT 10W","open","0-5cm",1,0.324535569176883
27,"PUT 10W","open","0-5cm",2,0.305450350087522
27,"PUT 10W","open","0-5cm",3,0.311655962732919
27,"PUT 10W","open","6-15cm",1,0.292019997516762
27,"PUT 10W","open","6-15cm",2,0.274672077761268
27,"PUT 10W","open","6-15cm",3,0.334781935239059
