"siteId","siteLabel","microsite","depth","rep","percentC","percentN"
15,"BO 5 PB","smooth","6-15cm",2,2.54258695543315,0.0639321732598898
15,"BO 5 PB","smooth","6-15cm",3,2.96161337851406,0.0741002510040161
15,"BO 5 PB","rough","0-5cm",1,5.59130384327427,0.151041976541053
15,"BO 5 PB","rough","0-5cm",2,4.87354511826875,0.13031839456467
15,"BO 5 PB","rough","0-5cm",3,4.564035638833,0.122293485915493
15,"BO 5 PB","rough","6-15cm",1,2.93165747441977,0.0791306214125281
15,"BO 5 PB","rough","6-15cm",2,3.261574325,0.086217775
15,"BO 5 PB","rough","6-15cm",3,3.00992040560841,0.0811344767150726
16,"Ked 30+","open","0-5cm",1,7.4818706776283,0.147718335824614
16,"Ked 30+","open","0-5cm",2,7.09187394597324,0.13978684675587
16,"Ked 30+","open","0-5cm",3,7.22198553965863,0.16251749497992
16,"Ked 30+","open","6-15cm",1,4.13529858263731,0.118261225006327
16,"Ked 30+","open","6-15cm",2,4.09137771342231,0.114445454545455
16,"Ked 30+","open","6-15cm",3,4.39694100829771,0.121582549660548
16,"Ked 30+","smooth","0-5cm",1,6.58243761581067,0.182676611278953
16,"Ked 30+","smooth","0-5cm",2,6.44783362996481,0.174791804927099
16,"Ked 30+","smooth","0-5cm",3,6.67533104203373,0.186000025169897
16,"Ked 30+","smooth","6-15cm",1,4.98380922437673,0.13728836565097
16,"Ked 30+","smooth","6-15cm",2,5.25817579207921,0.147678366336634
16,"Ked 30+","smooth","6-15cm",3,4.95925143916914,0.137255736894164
16,"Ked 30+","rough","0-5cm",1,9.36120002008032,0.241705296184739
16,"Ked 30+","rough","0-5cm",2,9.05588163803834,0.230915932287777
16,"Ked 30+","rough","0-5cm",3,9.0397494469697,0.232473813131313
16,"Ked 30+","rough","6-15cm",1,4.13141525618595,0.113187828042989
16,"Ked 30+","rough","6-15cm",2,4.18840684860459,0.110464336873302
16,"Ked 30+","rough","6-15cm",3,4.07834974274905,0.108395359394704
17,"And 5pb","open","0-5cm",1,4.25015086224233,0.0737366013071895
17,"And 5pb","open","0-5cm",2,4.62510795353435,0.0800034107760751
17,"And 5pb","open","0-5cm",3,3.98600602318548,0.0719586693548387
17,"And 5pb","open","6-15cm",1,2.75613851705388,0.0472136925358379
17,"And 5pb","open","6-15cm",2,2.67494517602996,0.0466992759051186
17,"And 5pb","open","6-15cm",3,2.53378007054674,0.0434983623078861
17,"And 5pb","smooth","0-5cm",1,8.7661560045489,0.18046575688653
17,"And 5pb","smooth","0-5cm",2,9.13120904384444,0.196884369581372
17,"And 5pb","smooth","0-5cm",3,8.07800645322661,0.16362256128064
17,"And 5pb","smooth","6-15cm",1,4.95901607025524,0.0726888804649987
17,"And 5pb","smooth","6-15cm",2,4.62476701134931,0.070576973518285
17,"And 5pb","smooth","6-15cm",3,4.19157501235788,0.0604974789915966
17,"And 5pb","rough","0-5cm",1,4.11312295951722,0.0684047020367111
17,"And 5pb","rough","0-5cm",2,4.09173703804348,0.0703638092885376
17,"And 5pb","rough","0-5cm",3,4.08333640483384,0.0680129405840886
17,"And 5pb","rough","6-15cm",1,2.49478237271131,0.0436778279408076
17,"And 5pb","rough","6-15cm",2,2.77977928660514,0.0491196557745074
17,"And 5pb","rough","6-15cm",3,2.62692954488308,0.0458725672617551
